"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 22 14:58:32 MSK 2020","Sun Mar 22 14:58:34 MSK 2020","2129","","HW5_Task3_Dmitrieva УДАЛЕНИЕ ТОВАРА ИЗ КОРЗИНЫ И ЕГО ВОССТАНОВЛЕНИЕ","","HW5_Task3_Dmitrieva УДАЛЕНИЕ ТОВАРА ИЗ КОРЗИНЫ И ЕГО ВОССТАНОВЛЕНИЕ","Фильтрация по производителю – Nokia: отображаются только смартфоны Nokia","Фильтрация по производителю – Nokia: отображаются только смартфоны Nokia",""
"passed","Sun Mar 22 01:05:20 MSK 2020","Sun Mar 22 01:05:20 MSK 2020","87","","Test Beeline Shop","","Test Beeline Shop","Фильтр по ценам работает корректно","Фильтр по ценам работает корректно",""
"passed","Fri Aug 14 18:19:20 MSK 2020","Fri Aug 14 18:19:22 MSK 2020","1618","","HW5_Task3_Dmitrieva УДАЛЕНИЕ ТОВАРА ИЗ КОРЗИНЫ И ЕГО ВОССТАНОВЛЕНИЕ","","HW5_Task3_Dmitrieva УДАЛЕНИЕ ТОВАРА ИЗ КОРЗИНЫ И ЕГО ВОССТАНОВЛЕНИЕ","Переход в раздел ""Телефоны"" состоялся","Переход в раздел ""Телефоны"" состоялся",""
"passed","Fri Aug 14 18:19:16 MSK 2020","Fri Aug 14 18:19:18 MSK 2020","1767","","HW5_Task2_Dmitrieva СОРТИРОВКА ПО ЦЕНЕ","","HW5_Task2_Dmitrieva СОРТИРОВКА ПО ЦЕНЕ","Переход в раздел ""Телефоны"" состоялся","Переход в раздел ""Телефоны"" состоялся",""
"passed","Sun Mar 22 01:05:10 MSK 2020","Sun Mar 22 01:05:16 MSK 2020","6058","","Test Beeline Shop","","Test Beeline Shop","""before all"" hook","""before all"" hook",""
"passed","Fri Aug 14 18:19:26 MSK 2020","Fri Aug 14 18:19:27 MSK 2020","390","","HW5_Task3_Dmitrieva УДАЛЕНИЕ ТОВАРА ИЗ КОРЗИНЫ И ЕГО ВОССТАНОВЛЕНИЕ","","HW5_Task3_Dmitrieva УДАЛЕНИЕ ТОВАРА ИЗ КОРЗИНЫ И ЕГО ВОССТАНОВЛЕНИЕ","Нажатие на крестик удаляет из корзины","Нажатие на крестик удаляет из корзины",""
"passed","Sat Mar 21 23:03:15 MSK 2020","Sat Mar 21 23:03:18 MSK 2020","2714","","Добавление товаров в корзину","","Добавление товаров в корзину","Клик на кнопку ""Купить"" из середины списка приводит к переходу в корзину","Клик на кнопку ""Купить"" из середины списка приводит к переходу в корзину",""
"passed","Sat Mar 21 17:15:29 MSK 2020","Sat Mar 21 17:15:32 MSK 2020","3396","","Test Beeline Shop","","Test Beeline Shop","1 Show all Apple phones","1 Show all Apple phones",""
"broken","Sat Mar 21 17:02:00 MSK 2020","Sat Mar 21 17:02:01 MSK 2020","667","","Test Beeline Shop","","Test Beeline Shop","2 Buy cheap phone","2 Buy cheap phone",""
"passed","Fri Aug 14 18:19:27 MSK 2020","Fri Aug 14 18:19:28 MSK 2020","808","","HW5_Task3_Dmitrieva УДАЛЕНИЕ ТОВАРА ИЗ КОРЗИНЫ И ЕГО ВОССТАНОВЛЕНИЕ","","HW5_Task3_Dmitrieva УДАЛЕНИЕ ТОВАРА ИЗ КОРЗИНЫ И ЕГО ВОССТАНОВЛЕНИЕ","Нажатие на ""Восстановить"" возвращает товар","Нажатие на ""Восстановить"" возвращает товар",""
"passed","Sat Mar 21 17:54:32 MSK 2020","Sat Mar 21 17:54:43 MSK 2020","10857","","Test Beeline Shop","","Test Beeline Shop","Список товаров обновился по фильтру цен","Список товаров обновился по фильтру цен",""
"passed","Tue Mar 17 21:56:31 MSK 2020","Tue Mar 17 21:56:39 MSK 2020","7515","","Test Beeline Shop","","Test Beeline Shop","""before each"" hook","""before each"" hook",""
"passed","Fri Aug 14 18:19:14 MSK 2020","Fri Aug 14 18:19:16 MSK 2020","1435","","HW5_Task2_Dmitrieva СОРТИРОВКА ПО ЦЕНЕ","","HW5_Task2_Dmitrieva СОРТИРОВКА ПО ЦЕНЕ","""before all"" hook","""before all"" hook",""
"passed","Sun Mar 22 01:11:27 MSK 2020","Sun Mar 22 01:11:29 MSK 2020","2221","","HW5_Task2_Dmitrieva СОРТИРОВКА ПО ЦЕНЕ","","HW5_Task2_Dmitrieva СОРТИРОВКА ПО ЦЕНЕ","Применен фильтр по ценам","Применен фильтр по ценам",""
"passed","Sat Mar 21 23:03:11 MSK 2020","Sat Mar 21 23:03:15 MSK 2020","4249","","Добавление товаров в корзину","","Добавление товаров в корзину","Фильтрация по производителю – Nokia: отображаются только смартфоны Nokia","Фильтрация по производителю – Nokia: отображаются только смартфоны Nokia",""
"passed","Fri Aug 14 18:19:18 MSK 2020","Fri Aug 14 18:19:19 MSK 2020","1378","","HW5_Task2_Dmitrieva СОРТИРОВКА ПО ЦЕНЕ","","HW5_Task2_Dmitrieva СОРТИРОВКА ПО ЦЕНЕ","Применена сортировка по ценам","Применена сортировка по ценам",""
"passed","Sun Mar 22 01:05:16 MSK 2020","Sun Mar 22 01:05:18 MSK 2020","1812","","Test Beeline Shop","","Test Beeline Shop","Переход в раздел ""Телефоны"" состоялся","Переход в раздел ""Телефоны"" состоялся",""
"passed","Sat Mar 21 23:03:02 MSK 2020","Sat Mar 21 23:03:08 MSK 2020","5870","","Добавление товаров в корзину","","Добавление товаров в корзину","""before all"" hook","""before all"" hook",""
